Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%,LifeGroup,Period,Strata
2010.0,Sri Lanka,Asia,Southern Asia,65610.0,20668557.0,329.589491309201,0.904381981259747,58636160848.9497,8.01596737040464,23.3,9.04833700695796,45.61602291392096,2.196,477559000.0,2380.0,49278955649.1427,64.09941044365122,27.7831982979266,26.9348761761573,73.215,37.7139288790871,83.98898868,11.2,-26603.0,0.816640694778097,Medium,2008-2014,Asia_Medium_
2014.0,Eritrea,Africa,Sub-Saharan Africa,121622.815,3323425.0,27.4581109773081,0.817492473750786,103621273317.9185,-2.7981164464456203,70.997,0.7654491580377373,66.11937289842321,4.273,46511000.0,20285.485755094272,67657003243.8104,43.12969793561516,50.54024521847838,2.2296316166187435,65.6,69.1913009219017,12.55933262,48.1,-75830.0,2.45620653897091,Low,2008-2014,Africa_Low_
2017.0,Bosnia and Herzegovina,Europe,Southern Europe,51210.0,3440027.0,67.18802734375,-1.18362667966933,18326376394.0796,3.24410095889466,10.836,5.43104998511606,40.3244111550865,1.355,509429047.915133,5050.0,17385649732.1289,56.3214678655661,23.1210738626282,1.77870702677497,76.935,92.2495513377184,100.001686,6.1,-30669.0,-0.433076051259853,High,2015+,Europe_High_
2008.0,Philippines,Asia,South-eastern Asia,300000.0,91252326.0,306.041271757722,1.87043157688419,181624627927.891,4.34448730509183,56.421,14.5160747573134,33.3568332437392,3.404,1340027563.20326,2000.0,182337457286.109,34.3242375293009,32.765288410954,7.17921618315836,70.564,60.2880794577446,74.64704735,32.6,-190626.0,1.68360880350824,Medium,2008-2014,Asia_Medium_
2009.0,Lithuania,Europe,Northern Europe,65300.0,3162916.0,50.4653530115676,-1.11034575437238,37388122046.1496,-14.8386083735986,16.594,2.53647105450177,51.7893007830051,1.5,-360197700.774579,12460.0,39412339363.7801,53.5494775163712,25.0918587062542,-3.29603877370516,72.9146341463415,92.9653539621404,155.9984832,6.7,-30706.0,-1.11931507180531,Medium,2008-2014,Europe_Medium_
2018.0,Palau,Oceania,Micronesia,460.0,17864.0,38.8347826086957,0.151256296169056,284900000.0,0.108108108108112,44.289,3.43980343980344,86.05806095998544,2.7361346693401414,50605000.0,17410.0,311006950.382626,67.97963617354212,9.05580905580906,-0.352824715199233,70.16496835880007,63.1800631800632,16.613768706442563,17.9,8.0,0.86513639649412,Medium,2015+,Oceania_Medium_
2009.0,Nicaragua,Americas,Latin America and the Caribbean,130370.0,5770639.0,47.9527920890809,1.44691351664322,8298736471.12441,-3.29356384667199,98.368,16.0677046305512,33.9814683160339,2.628,433900000.0,1380.0,7950797806.81634,53.0113986444855,21.0768282857007,6.03796205823288,71.433,76.1561717496458,57.95828815,25.2,-29914.0,1.79306766360908,Medium,2008-2014,Americas_Medium_
2018.0,French Polynesia,Oceania,Polynesia,3471.0,297606.0,85.7407087294728,0.727084625433978,6135116260.64814,1.73709471857401,34.413,0.5120908857722718,20.9791687502218,1.789,5937841.3702,481.2185593104662,5942549330.8961525,44.0354941009849,15.730593889330647,-1.11100703850613,82.783,38.7930708871125,101.7025866,38.2632994168865,-952.0,0.808051035395813,High,2015+,Oceania_High_
2002.0,Uruguay,Americas,Latin America and the Caribbean,176220.0,3306441.0,18.8917895097703,0.166541088046771,13606515935.952,-7.73200721540044,70.262,7.52965904535852,20.6216724821799,2.142,179852187.798716,5170.0,17093994896.7608,19.40739482538,21.8623288483766,12.6162766389703,75.54,28.1115314016085,15.53114058,16.2,-16958.0,0.454286872148488,High,2000-2007,Americas_High_
2010.0,"Iran, Islamic Rep.",Asia,Southern Asia,1745150.0,75373855.0,46.2768332964955,1.40442428093574,486807616896.703,5.79793830169604,34.998,6.49939072557201,24.399653282909,1.768,3648972409.9,6110.0,460740975845.353,19.3709904542309,44.2093794197457,15.8826259725109,73.069,34.2476153234424,71.71155568,19.3,127703.0,2.2304696365765,Medium,2008-2014,Asia_Medium_
2009.0,Guyana,Americas,Latin America and the Caribbean,214970.0,751258.0,3.81639827279655,-0.384215250307409,3165663152.73351,3.61150847218585,82.172,29.4241191257626,61.7945477024768,2.684,164000000.0,4160.0,3127938250.69622,89.79932896856275,24.5699983117448,1.15311395698279,66.563,60.7771549647867,65.0286586,38.1,-14130.0,-1.25829931206321,Low,2008-2014,Americas_Low_
2008.0,Bolivia,Americas,Latin America and the Caribbean,1098580.0,9880593.0,9.12082802547771,1.72976143588269,16674276979.4745,6.14849787462164,77.608,10.4424041155226,44.9065559925589,3.364,512335605.237139,1450.0,14340297868.4918,37.9604649036209,29.7366397824222,10.381181762675,65.446,69.6042174079669,50.99491498,47.1,-13417.0,2.42340016762147,Low,2008-2014,Americas_Low_
2016.0,Malawi,Africa,Sub-Saharan Africa,118480.0,17405624.0,184.616291896479,2.71781408401004,7909868618.46366,2.4999999990207,127.51,22.1929077690151,44.18020087551638,4.309,115700000.0,500.0,8622469268.30948,61.55930166601422,17.655842210407,20.2926829287347,62.209,41.4166171148908,41.24175037,53.5,-5498.0,3.89395108305346,Low,2015+,Africa_Low_
